name,energy,fflags,visible,opts,conc
i0,0.0,,,,6.456981842580169e-16
i1,-0.63,,,,0.0003744873405136
i2,-0.22,,,,0.0908353952868919
i3,0.24,,,,8.169004094196273e-06
i4,-0.47,,,,0.0137792781242762
i5,-0.17,,,,7.438164993483761e-11
i6,-0.69,,,,2.86341050993821e-08
i7,-1.32,,,,0.895002641532443
i8,0.37,,,,1.2230494467427256e-15
i9,1.18,,,,1.1749499157402473e-23
i10,0.55,,,,6.587396687399981e-17
i11,1.44,,,,9.787914148233466e-25
i12,2.17,,,,4.5448187196832695e-36
i13,-0.02,,,,3.293592194246485e-12
i14,1.55,,,,1.2698283897774029e-28
i15,0.95,,,,7.118155275014802e-22
i16,1.73,,,,8.380440477899288e-29
H2(g),0.0,i,,,0.8
CO2(g),0.0,i,,,0.2
CO(g),0.5,i,,,0.0
H2O(g),0.0,i,,,0.0
CH3OH(g),0.3,i,,,0.0
